Date,Close,Open,High,Low,Change,Volume
2021-12-17,18.8,19.6,19.6,18.8,-0.8,1799.0
2021-12-16,19.6,19.6,19.6,19.6,-0.3,270.0
2021-12-15,19.9,20.0,20.0,19.9,0.0,288.0
2021-12-14,19.9,19.9,19.9,19.9,0.0,0.0
2021-12-13,19.9,19.8,19.9,19.8,0.2,200.0
2021-12-10,19.7,19.6,20.9,19.6,0.1,1500.0
2021-12-09,19.6,20.4,20.4,19.6,0.0,2411.0
2021-12-08,19.6,19.6,19.6,19.6,-0.2,100.0
2021-12-07,19.8,19.9,19.9,19.8,0.0,4180.0
2021-12-06,19.8,19.9,19.9,19.8,-0.1,8100.0
2021-12-03,19.9,20.7,20.7,19.9,-0.6,2321.0
2021-12-02,20.5,20.2,20.5,20.0,0.2,3500.0
2021-12-01,20.3,20.1,20.3,19.9,0.2,2748.0
2021-11-30,20.1,20.0,20.1,20.0,0.9,259.0
2021-11-29,19.2,19.1,19.2,19.1,-0.8,1100.0
2021-11-26,20.0,20.0,20.0,20.0,0.0,100.0
2021-11-25,20.0,20.0,20.2,20.0,-0.1,2200.0
2021-11-24,20.1,20.0,20.7,20.0,0.0,1800.0
2021-11-23,20.1,20.9,20.9,20.0,-0.2,3468.0
2021-11-22,20.3,21.0,21.0,20.3,-0.7,6725.0
2021-11-19,21.0,20.7,21.0,20.4,0.0,2860.0
2021-11-18,21.0,21.0,21.0,21.0,-0.2,264.0
2021-11-17,21.2,20.0,21.4,20.0,-0.1,11779.0
2021-11-16,21.3,21.0,21.4,21.0,0.0,3796.0
2021-11-15,21.3,20.3,21.3,20.2,-0.2,1300.0
2021-11-12,21.5,21.0,21.5,20.0,-0.2,2800.0
2021-11-11,21.7,21.5,21.8,21.4,0.2,2336.0
2021-11-10,21.5,20.3,21.5,20.0,0.0,4211.0
2021-11-09,21.5,21.2,21.5,20.8,0.2,15304.0
2021-11-08,21.3,21.0,21.3,20.2,1.3,1325.0
2021-11-05,20.0,20.1,21.1,20.0,-1.0,1700.0
2021-11-04,21.0,20.2,21.0,20.2,-0.3,500.0
2021-11-03,21.3,21.8,21.8,21.0,1.3,3729.0
2021-11-02,20.0,19.0,20.5,19.0,1.0,5231.0
2021-11-01,19.0,19.0,19.0,19.0,-0.7,5100.0
2021-10-29,19.7,20.3,20.4,19.7,0.7,700.0
2021-10-28,19.0,19.0,19.0,19.0,-0.4,623.0
2021-10-27,19.4,19.1,20.4,19.0,0.0,5600.0
2021-10-26,19.4,19.0,19.4,19.0,-1.0,2500.0
2021-10-25,20.4,20.2,20.4,19.2,1.8,20550.0
2021-10-22,18.6,18.4,18.6,17.9,0.2,2435.0
2021-10-21,18.4,17.0,18.4,17.0,1.5,395.0
2021-10-20,16.9,16.9,16.9,16.9,1.5,15724.0
2021-10-19,15.4,15.8,15.8,15.4,-0.4,5600.0
2021-10-18,15.8,15.8,15.8,15.8,0.0,0.0
2021-10-15,15.8,16.0,16.0,15.8,0.4,1020.0
2021-10-14,15.4,15.2,15.4,15.2,-0.6,1100.0
2021-10-13,16.0,16.0,16.0,16.0,0.0,500.0
2021-10-12,16.0,16.0,16.0,16.0,0.0,9.0
2021-10-11,16.0,16.0,16.0,16.0,-0.5,105.0
2021-10-08,16.5,15.2,16.5,15.2,1.3,885.0
2021-10-07,15.2,15.2,15.2,15.2,0.0,170.0
2021-10-06,15.2,15.2,15.2,15.2,-1.1,412.0
2021-10-05,16.3,16.0,16.3,16.0,1.3,1501.0
2021-10-04,15.0,15.6,15.6,15.0,-0.6,2756.0
2021-10-01,15.6,16.8,16.8,15.6,-1.2,3700.0
2021-09-30,16.8,16.8,16.8,16.8,1.2,1016.0
2021-09-29,15.6,15.5,15.6,15.5,0.5,1173.0
2021-09-28,15.1,14.7,15.1,14.7,-0.9,2120.0
2021-09-27,16.0,16.0,16.0,16.0,0.5,500.0
2021-09-24,15.5,15.5,16.0,15.5,-0.5,5700.0
2021-09-23,16.0,14.9,16.0,14.9,1.0,2605.0
2021-09-22,15.0,15.0,15.0,15.0,0.0,56.0
2021-09-21,15.0,14.0,15.0,14.0,1.0,16600.0
2021-09-20,14.0,14.0,14.1,14.0,-0.5,4000.0
2021-09-17,14.5,14.4,14.5,14.4,0.5,775.0
2021-09-16,14.0,13.8,14.0,13.8,0.1,700.0
2021-09-15,13.9,13.9,13.9,13.9,0.0,0.0
2021-09-14,13.9,13.9,13.9,13.9,0.0,122.0
2021-09-13,13.9,13.9,13.9,13.9,0.0,0.0
2021-09-10,13.9,13.9,13.9,13.9,0.2,520.0
2021-09-09,13.7,13.8,13.8,13.7,0.0,2002.0
2021-09-08,13.7,13.7,13.7,13.7,0.0,129.0
2021-09-07,13.7,13.7,13.8,13.7,0.0,3100.0
2021-09-06,13.7,13.6,13.7,13.6,-0.6,700.0
2021-09-01,14.3,14.3,14.3,14.3,0.0,200.0
2021-08-31,14.3,14.3,14.3,14.3,0.1,100.0
2021-08-30,14.2,13.9,14.2,13.9,1.1,920.0
2021-08-27,13.1,13.1,13.1,13.1,0.0,0.0
2021-08-26,13.1,13.1,13.1,13.1,0.0,0.0
2021-08-25,13.1,13.1,13.1,13.1,-0.9,100.0
2021-08-24,14.0,14.0,14.0,14.0,0.0,0.0
2021-08-23,14.0,14.0,14.0,14.0,0.0,0.0
2021-08-20,14.0,14.0,14.0,14.0,0.0,500.0
2021-08-19,14.0,14.0,14.0,14.0,0.0,0.0
2021-08-18,14.0,14.0,14.0,14.0,0.1,5100.0
2021-08-17,13.9,13.9,13.9,13.9,0.0,0.0
2021-08-16,13.9,13.9,13.9,13.9,0.0,0.0
2021-08-13,13.9,13.9,13.9,13.9,0.0,1000.0
2021-08-12,13.9,13.9,13.9,13.9,-0.1,100.0
2021-08-11,14.0,14.0,14.0,14.0,0.0,36.0
2021-08-10,14.0,14.0,14.0,14.0,0.1,1500.0
2021-08-09,13.9,13.9,13.9,13.9,0.0,58.0
2021-08-06,13.9,13.9,13.9,13.9,0.0,200.0
2021-08-05,13.9,13.9,13.9,13.9,-0.1,800.0
2021-08-04,14.0,14.0,14.0,14.0,0.0,0.0
2021-08-03,14.0,14.0,14.0,14.0,0.0,0.0
2021-08-02,14.0,14.0,14.0,14.0,0.0,200.0
2021-07-30,14.0,14.0,14.0,14.0,0.0,2400.0
2021-07-29,14.0,14.0,14.0,14.0,0.2,1500.0
2021-07-28,13.8,13.8,13.8,13.8,-0.2,1300.0
2021-07-27,14.0,14.0,14.0,14.0,0.0,95.0
2021-07-26,14.0,13.9,14.0,13.9,0.3,1200.0
2021-07-23,13.7,13.7,13.7,13.7,0.2,300.0
2021-07-22,13.5,13.6,13.6,13.5,0.0,5108.0
2021-07-21,13.5,13.5,13.5,13.5,-0.3,800.0
2021-07-20,13.8,13.8,13.8,13.8,0.0,0.0
2021-07-19,13.8,13.8,13.9,13.8,0.1,1376.0
2021-07-16,14.2,14.2,14.2,14.2,0.0,3.0
2021-07-15,14.2,14.3,14.3,14.2,-0.1,1000.0
2021-07-14,14.3,14.3,14.3,14.3,0.2,100.0
2021-07-13,14.1,14.1,14.1,14.1,0.0,0.0
2021-07-12,14.1,14.1,14.1,14.1,0.0,833.0
2021-07-09,14.1,14.1,14.1,14.1,0.0,300.0
2021-07-08,14.1,14.1,14.1,14.1,0.0,0.0
2021-07-07,14.1,14.1,14.1,14.1,0.0,551.0
2021-07-06,14.1,14.1,14.1,14.1,0.0,3800.0
2021-07-05,14.1,14.1,14.1,14.1,0.0,0.0
2021-07-02,14.1,14.1,14.1,14.1,-0.4,1248.0
2021-07-01,14.5,14.5,14.5,14.5,0.0,0.0
2021-06-30,14.5,14.5,14.5,14.5,0.0,1240.0
2021-06-29,14.5,14.5,14.5,14.5,0.0,1300.0
2021-06-28,14.5,14.5,14.7,14.5,0.1,3800.0
2021-06-25,14.4,14.2,14.4,14.2,-0.1,2388.0
2021-06-24,14.5,14.5,14.6,14.1,0.0,2400.0
2021-06-23,14.5,14.5,14.5,14.5,-0.1,100.0
2021-06-22,14.6,14.5,14.6,14.5,0.2,2052.0
2021-06-21,14.4,14.3,14.4,14.3,0.1,1461.0
2021-06-18,14.3,14.0,14.3,14.0,0.2,317.0
2021-06-17,14.1,14.1,14.1,14.0,0.0,2600.0
2021-06-16,14.1,14.1,14.1,14.1,0.0,96.0
2021-06-15,14.1,13.7,14.4,13.7,-0.2,2705.0
2021-06-14,14.3,14.3,14.3,14.3,0.2,100.0
2021-06-11,14.1,14.0,14.1,14.0,-0.1,676.0
2021-06-10,14.2,14.0,14.2,14.0,-0.3,1100.0
2021-06-09,14.5,14.5,14.5,14.5,-0.4,600.0
2021-06-08,14.9,14.9,14.9,14.9,0.0,22.0
2021-06-07,14.9,14.5,14.9,14.1,0.4,5250.0
2021-06-04,14.5,14.5,14.5,14.5,0.0,58.0
2021-06-03,14.5,14.7,14.7,14.5,-0.3,3526.0
2021-06-02,14.8,14.2,14.8,14.0,0.0,3624.0
2021-06-01,14.8,14.5,14.9,14.5,0.3,2618.0
2021-05-31,14.5,14.5,14.5,14.5,0.0,532.0
2021-05-28,14.5,14.4,14.5,14.4,0.5,2274.0
2021-05-27,14.0,14.1,14.1,14.0,-0.5,1092.0
2021-05-26,14.5,14.7,14.8,14.5,0.4,3200.0
2021-05-25,14.1,14.1,14.1,14.0,-0.5,3116.0
2021-05-24,14.6,14.5,14.6,14.5,0.1,3400.0
2021-05-21,14.5,14.5,14.5,14.5,-0.5,700.0
2021-05-20,15.0,15.0,15.0,14.1,0.4,10400.0
2021-05-19,14.6,14.6,14.6,14.6,0.0,200.0
2021-05-18,14.6,14.6,14.6,14.6,0.1,112.0
2021-05-17,14.5,14.5,14.5,14.5,-0.8,1000.0
2021-05-14,15.3,15.3,15.3,15.3,0.0,0.0
2021-05-13,15.3,15.3,15.3,15.3,0.0,0.0
2021-05-12,15.3,14.9,15.3,14.9,0.4,1100.0
2021-05-11,14.9,14.9,14.9,14.9,0.4,200.0
2021-05-10,14.5,14.5,14.5,14.5,0.0,316.0
